epoch,velocity: 20,velocity: 25,velocity: 30,velocity: 35,velocity: 40,velocity: 45,velocity: 50
20,15.874456405639648,11.093231469392776,5.894497986882925,3.6253509502857924,2.8193481136113405,2.5393768083304167,1.8827064642682672
21,15.183100640773773,10.449019879102707,5.3144240863621235,3.2679378166794777,2.5289298612624407,2.107384219765663,1.6440540943294764
22,14.531911253929138,9.875585034489632,4.845056738704443,2.9733534306287766,2.3152235187590122,1.8809395991265774,1.4446131847798824
23,14.051228731870651,9.434633731842041,4.392096102237701,2.7121494002640247,2.129347052425146,1.7218124633654952,1.3340605380944908
24,13.391138792037964,8.866511940956116,4.039750250056386,2.4982995064929128,2.009090868756175,1.571855017915368,1.1602739188820124
25,12.872853808104992,8.501060456037521,3.6664843186736107,2.255064882338047,1.8644060771912336,1.4456849684938788,1.0586039796471596
26,12.40804722160101,8.198378831148148,3.4339673314243555,2.1013510022312403,1.7195061203092337,1.3161413809284568,0.9564340880606323
27,11.846377469599247,7.6734151393175125,3.282942881807685,1.900274895131588,1.5828708810731769,1.255729510448873,0.8791894405148923
28,11.434520944952965,7.341099135577679,2.8378677051514387,1.7159425802528858,1.5052668638527393,1.129292001016438,0.8721864921972156
29,11.018186330795288,6.846957542002201,2.6351992301642895,1.5687968069687486,1.3299618307501078,1.0242008310742676,0.7765010921284556
30,10.561923511326313,6.646273326128721,2.399033259600401,1.5520588927902281,1.2456371411681175,0.9896759511902928,0.7409994676709175
31,10.17685954272747,6.119393568485975,2.273356333374977,1.3553326735273004,1.293691199272871,1.5243435478769243,0.6522182691842318
32,9.789981082081795,5.887789279222488,2.107997354120016,1.3327910341322422,1.1324806318152696,0.8986040856689215,0.6629525390453637
33,9.56310922652483,5.4788062162697315,1.9381234291940928,1.1744476286694407,1.0234828917309642,0.7961094519123435,0.5251026172190905
34,9.118656687438488,5.293408282101154,1.8166483417153358,1.1557254833169281,1.0224733836948872,0.8017269959673285,0.5307346594054252
35,8.808287762105465,4.973511572927237,1.6879883268848062,1.0502683613449335,1.8166319821029902,0.6645100964233279,0.4670928483828902
36,8.593809016048908,4.775368627160788,1.6794494045898318,1.0400053849443793,0.9122710363008082,0.7177741690538824,0.469896963564679
37,8.37414275109768,4.405946359038353,1.5241920687258244,0.9397934405133128,0.8381090736947954,0.7214087573811412,0.4835272447671741
38,8.115893460810184,4.3223781287670135,1.5547288693487644,0.9239771603606641,0.8120523463003337,0.5860632746480405,0.4717344971722923
39,7.7075274884700775,4.127999225631356,1.3284090161323547,0.8573875995352864,0.767475483007729,0.5327932294458151,0.3629424787359312
40,7.369346346706152,3.8726285062730312,1.310777097940445,0.7755384859628975,0.7009959258139133,0.5232032425701618,0.3552057158667594
41,7.1264296397566795,3.695453267544508,1.9025462362915277,0.741086280439049,0.6907318904995918,0.49547424353659153,0.394554098835215
42,6.882322661578655,3.5090471263974905,1.1757509028539062,0.7400216786190867,0.6593804077710956,0.4387947579380125,0.3492826079018414
43,7.383732702583075,3.3968232832849026,1.2256248868070543,0.7088143429718912,0.6174603286199272,0.47327442071400583,0.35449186799814925
44,6.415964633226395,3.2168643083423376,1.0897771464660764,0.6265261981170624,0.6413304517045617,0.4358541027177125,0.2801081503275782
45,6.33884809166193,3.173820409923792,1.0275851618498564,0.6276866423431784,0.66484639281407,0.4111060667783022,0.4371791986632161
46,5.914319150149822,2.865768276154995,0.9869634797796607,0.5795328854583204,0.774383784038946,0.3482073280028999,0.2548280246555805
47,5.753486171364784,2.8356963098049164,0.9708448275923729,0.5886591472662985,0.6217544488608837,0.3517733629560098,0.23411478148773313
48,5.631933256983757,2.706045411527157,0.9466589060612023,0.5766640764195472,0.5036027813330293,0.3427030202001333,0.2262713290110696
49,5.3266671448946,2.5895724557340145,0.8958275690674782,0.5380143402144313,0.7425749108660966,0.311604285845533,0.21731786939199083
50,5.161470044404268,2.3948420770466328,0.8999335756525397,0.49734898330643773,0.47528533241711557,0.5529800532385707,0.21271520480513573
